Admin2,Crop,Area,Admin1
Auraiya,pigeonpea,3896.19999694824,Uttar Pradesh
Auraiya,plantain,0,Uttar Pradesh
Auraiya,pearl millet,30602.7000427246,Uttar Pradesh
Auraiya,potato,5240.10000228882,Uttar Pradesh
Auraiya,rapeseed,17886.799987793,Uttar Pradesh
Auraiya,robusta coffee,0,Uttar Pradesh
Auraiya,rice,40609.1999511719,Uttar Pradesh
Auraiya,sesameseed,824.500005722046,Uttar Pradesh
Auraiya,small millet,0.100000001490116,Uttar Pradesh
Auraiya,sorghum,1632.90001964569,Uttar Pradesh
Auraiya,soybean,9.99999994784594,Uttar Pradesh
Auraiya,sugarbeet,0,Uttar Pradesh
Auraiya,sugarcane,665.000002861023,Uttar Pradesh
Auraiya,sunflower,12.1000001132488,Uttar Pradesh
Auraiya,sweet potato,210.400000095367,Uttar Pradesh
Auraiya,tea,0,Uttar Pradesh
Auraiya,temperate fruit,0,Uttar Pradesh
Auraiya,tobacco,816.700005590916,Uttar Pradesh
Auraiya,tropical fruit,347.199994087219,Uttar Pradesh
Auraiya,vegetables,7068.00002288818,Uttar Pradesh
Auraiya,wheat,101063.300109863,Uttar Pradesh
Auraiya,yams,0,Uttar Pradesh
Aurangabad,arabica coffee,0,Bihar
Aurangabad,banana,0,Bihar
Aurangabad,barley,1358.50000210106,Bihar
Aurangabad,bean,2127.89998684078,Bihar
Aurangabad,cassava,0,Bihar
Aurangabad,chickpea,6785.00000152737,Bihar
Aurangabad,coconut,0,Bihar
Aurangabad,cocoa,0,Bihar
Aurangabad,cotton,0,Bihar
Aurangabad,cowpea,0,Bihar
Aurangabad,groundnut,8.69999980926514,Bihar
Aurangabad,lentil,13411.3999572769,Bihar
Aurangabad,maize,501.199997425079,Bihar
Aurangabad,other cereals,0,Bihar
Aurangabad,other fibre crops,156.399998962879,Bihar
Aurangabad,oilpalm,0,Bihar
Aurangabad,other oil crops,5726.60005265474,Bihar
Aurangabad,other pulses,4.29999997466803,Bihar
Aurangabad,other roots,0,Bihar
Aurangabad,pigeonpea,1184.90001163632,Bihar
Aurangabad,plantain,0,Bihar
Aurangabad,pearl millet,0.600000023841858,Bihar
Aurangabad,potato,2739.19999885559,Bihar
Aurangabad,rapeseed,932.000002481043,Bihar
Aurangabad,robusta coffee,0,Bihar
Aurangabad,rice,174292.800170898,Bihar
Aurangabad,sesameseed,28.9999998286367,Bihar
Aurangabad,small millet,39.1999997645617,Bihar
Aurangabad,sorghum,0.100000001490116,Bihar
Aurangabad,soybean,0,Bihar
Aurangabad,sugarbeet,0,Bihar
Aurangabad,sugarcane,261.500000551343,Bihar
Aurangabad,sunflower,1.80000002682209,Bihar
Aurangabad,sweet potato,17.6000002622604,Bihar
Aurangabad,tea,0,Bihar
Aurangabad,temperate fruit,0,Bihar
Aurangabad,tobacco,0,Bihar
Aurangabad,tropical fruit,0,Bihar
Aurangabad,vegetables,1590.59999904782,Bihar
Aurangabad,wheat,73837.6999778748,Bihar
Aurangabad,yams,0,Bihar
Azamgarh,arabica coffee,0,Uttar Pradesh
Azamgarh,banana,5.40000008791685,Uttar Pradesh
Azamgarh,barley,3938.49998092651,Uttar Pradesh
Azamgarh,bean,12043.9999542236,Uttar Pradesh
Azamgarh,cassava,0,Uttar Pradesh
Azamgarh,chickpea,3449.69998168945,Uttar Pradesh
Azamgarh,coconut,0,Uttar Pradesh
Azamgarh,cocoa,0,Uttar Pradesh
Azamgarh,cotton,0,Uttar Pradesh
Azamgarh,cowpea,0,Uttar Pradesh
Azamgarh,groundnut,54.9000001996756,Uttar Pradesh
Azamgarh,lentil,417.000005960464,Uttar Pradesh
Azamgarh,maize,9179.8999671936,Uttar Pradesh
Azamgarh,other cereals,0,Uttar Pradesh
Azamgarh,other fibre crops,34.5000007599592,Uttar Pradesh
